GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4710211,4886542,4949593,5191408,5525090,5544528,5273630,5265327,5421214,5514301,5553274,5566157,5516802,5503516,5394528,5470854,5497096,5523985,5512028,5291345
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.622,87.790,88.923,93.267,99.262,99.611,94.745,94.595,97.396,99.068,99.769,100.000,99.113,98.875,96.917,98.288,98.759,99.242,99.028,95.063
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3529388,3715302,3881853,4214176,4652971,4838883,4756715,4866810,5128271,5285375,5431553,5566157,5657113,5778362,5769925,5932025,6066954,6247139,6370389,6268966
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",42735819,42711610,38962347,36036950,36269235,35859506,37499808,37845356,36659547,37548899,37837088,38024245,38162206,38710340,39434730,40294417,40661960,41092184,42731033,40885938
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",112.391,112.327,102.467,94.774,95.384,94.307,98.621,99.530,96.411,98.750,99.508,100.000,100.363,101.804,103.709,105.970,106.937,108.068,112.378,107.526
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",33614214,34087341,31533589,29896259,30952194,31580513,34006647,35038492,35087593,36141250,36974440,38024245,38844190,40051215,41694008,43145817,44082806,45374954,48131377,46741847
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4668334,4666244,4783007,4982103,5137575,5224819,5158237,5159936,5150666,5223403,5214591,5164555,5174327,5186277,5248749,5299465,5410493,5448295,5569660,5309986
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.392,90.351,92.612,96.467,99.478,101.167,99.878,99.911,99.731,101.139,100.969,100.000,100.189,100.421,101.630,102.612,104.762,105.494,107.844,102.816
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3613718,3674307,3822053,4097538,4343042,4573449,4662108,4768738,4898089,5018873,5100667,5164555,5280955,5380123,5559899,5685908,5887437,6039117,6312962,6130328
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",9749376,9944163,10065296,10188396,10259696,10790091,11053962,11145554,11101029,11503100,11589043,11481042,11719242,11999812,12404774,12306161,12290022,12679860,12963584,12752340
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.917,86.614,87.669,88.741,89.362,93.982,96.280,97.078,96.690,100.192,100.941,100.000,102.075,104.518,108.046,107.187,107.046,110.442,112.913,111.073
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",7173182,7375893,7748165,8125689,8550560,9279464,9860556,10314713,10262052,10863005,11342720,11481042,12008457,12513685,12926706,12885881,13066052,13758372,14379268,14419528
 "11180","Ames, IA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4024987,4186496,4390763,4576576,4699599,4806415,4908969,5033459,4952101,5003547,5164433,5323749,5645423,5777842,5796587,5655314,5818747,5879145,5945093,5848674
 "11180","Ames, IA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.604,78.638,82.475,85.965,88.276,90.283,92.209,94.547,93.019,93.985,97.007,100.000,106.042,108.530,108.882,106.228,109.298,110.432,111.671,109.860
 "11180","Ames, IA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3058526,3243264,3474252,3735667,3924966,4133535,4388038,4607849,4662761,4767535,5031494,5323749,5786815,6034771,6195939,6124592,6399261,6610811,6842120,6875185
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",17737364,18065608,18508998,18970325,19794149,19878700,20192539,20999119,21975643,22871582,23297944,23336670,22730480,22814950,23822612,23937766,23548449,23719409,23658758,22549888
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.006,77.413,79.313,81.290,84.820,85.182,86.527,89.983,94.168,98.007,99.834,100.000,97.402,97.764,102.082,102.576,100.907,101.640,101.380,96.629
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",13394376,13929749,14731431,15570273,16823883,17525605,18421208,19658890,20608689,21991934,22863165,23336670,23315506,23880809,24934291,25377225,25493695,26342495,26945314,25823682
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",18822168,19988229,20334873,20248326,20738842,20607501,20947088,19661278,18105025,18709223,18841041,19389703,19527688,19825963,20618242,21117510,21789899,22352248,22929578,22186983
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.073,103.087,104.875,104.428,106.958,106.281,108.032,101.401,93.374,96.491,97.170,100.000,100.712,102.250,106.336,108.911,112.379,115.279,118.256,114.427
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",15481075,16640512,17148053,17379173,18123319,18343678,19134158,18190537,17395531,18081923,18412218,19389703,19978819,20677170,22057294,22859943,23875600,24936024,26150423,25818964
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3487094,3585435,3716295,4032708,4275113,4285067,4400426,4438806,4197841,4366524,4160592,4155626,4026676,3863268,3805848,3845108,3904458,3959304,4114829,3982561
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.913,86.279,89.428,97.042,102.875,103.115,105.891,106.814,101.016,105.075,100.120,100.000,96.897,92.965,91.583,92.528,93.956,95.276,99.018,95.835
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2745813,2876300,3037407,3390264,3691650,3816421,4033011,4144012,4008634,4223549,4091413,4155626,4088275,4010625,4017988,4097634,4240662,4408069,4666985,4574641
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",9575401,9596182,9904292,10205105,10496355,10704752,10769799,10638599,10281307,10493210,10848469,11263960,11093454,11514318,12069904,12392156,12595479,13081461,13388118,12838990
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.009,85.194,87.929,90.600,93.185,95.035,95.613,94.448,91.276,93.157,96.311,100.000,98.486,102.223,107.155,110.016,111.821,116.136,118.858,113.983
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",7546862,7688981,8029128,8476144,8953630,9429769,9781827,9837539,9832504,10106837,10600315,11263960,11344370,11983738,12817126,13305766,13684190,14470242,15181287,14854357
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",13425564,13811646,14070050,14534575,15015181,15557911,15269032,15433867,14784979,15402116,15684032,15399348,15754006,16330186,16573189,17092223,18033202,18734308,19408401,18425880
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.183,89.690,91.368,94.384,97.505,101.030,99.154,100.224,96.010,100.018,101.849,100.000,102.303,106.045,107.623,110.993,117.104,121.657,126.034,119.654
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",10568331,11076689,11475308,12123440,12862513,13739380,13913042,14309629,14141153,14818679,15296093,15399348,16102598,17031419,17748087,18632625,19955849,21175703,22505958,21847054
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",6632994,6711134,7077087,7223676,7363263,7376961,7470775,7482382,7413971,7405445,7344926,7708527,7817385,7971121,8318764,8485620,8931878,9179392,9232346,8807175
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.047,87.061,91.809,93.710,95.521,95.699,96.916,97.066,96.179,96.068,95.283,100.000,101.412,103.407,107.916,110.081,115.870,119.081,119.768,114.252
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",5039489,5213516,5618008,5902360,6174536,6383017,6685956,6855061,6968588,7055505,7142626,7708527,8020401,8348596,8900676,9214883,9871366,10392181,10707350,10476370
 "12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",254139990,257216463,265981042,278369610,292429484,297390546,299888906,291266815,277826579,281780970,287933355,292330813,299096847,312364025,327440044,343398175,357528115,370671581,386542296,369863934
 "12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.936,87.988,90.986,95.224,100.034,101.731,102.585,99.636,95.038,96.391,98.496,100.000,102.315,106.853,112.010,117.469,122.303,126.799,132.228,126.522
 "12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",208125355,214103456,224545629,239911624,257637922,269153320,277955081,273531551,266522797,272123159,281302905,292330813,305248975,325002757,347744957,369995897,389471813,411660045,438936814,425443807
 "12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",13586349,13969009,14056528,14092151,14630019,15315414,15398360,15646895,13649838,13308142,13687971,13390640,13325927,13123934,12766027,12315351,12136010,12127107,12472343,11074523
 "12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",101.462,104.319,104.973,105.239,109.256,114.374,114.993,116.849,101.936,99.384,102.220,100.000,99.517,98.008,95.335,91.970,90.631,90.564,93.142,82.703
 "12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",10443865,10934479,11199463,11530110,12446788,13492378,14140709,14683253,12981810,12731809,13333159,13390640,13643460,13744968,13709388,13459062,13500898,13815609,14557816,13114102
 "12220","Auburn-Opelika, AL (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2959582,3114486,3312376,3713798,3914405,4039378,4171738,4233694,4165524,4291653,4618312,4848573,4876619,4935200,5119613,5267271,5448360,5389074,5603187,5570011
 "12220","Auburn-Opelika, AL (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",61.040,64.235,68.317,76.596,80.733,83.311,86.041,87.318,85.912,88.514,95.251,100.000,100.578,101.787,105.590,108.635,112.370,111.148,115.564,114.879
 "12220","Auburn-Opelika, AL (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2300466,2471635,2677138,3075416,3346547,3578811,3806548,3929386,3995158,4139997,4513102,4848573,4991948,5181544,5544597,5776196,6067549,6139105,6538765,6641371
 "12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",19672896,19913299,20658711,21051191,21137519,20976036,21818212,22085280,21704505,22145081,22510865,22576302,22604856,22727986,23606911,23914947,24379169,24651039,25133597,24774920
 "12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.140,88.204,91.506,93.245,93.627,92.912,96.642,97.825,96.138,98.090,99.710,100.000,100.126,100.672,104.565,105.929,107.986,109.190,111.327,109.739
 "12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",15215159,15720924,16670426,17408733,17971816,18469458,19831319,20466211,20806238,21412287,22093406,22576302,23169057,23891529,25429696,26116997,27070064,28024812,29318212,29526180
 "12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",61468832,63385295,65153877,68520899,74249376,83401265,87065576,90385187,88156567,93427854,97420914,100427386,105495060,111176129,120013418,126238282,132420725,140208570,147053821,148884107
 "12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",61.207,63.116,64.877,68.229,73.933,83.046,86.695,90.001,87.781,93.030,97.006,100.000,105.046,110.703,119.503,125.701,131.857,139.612,146.428,148.251
 "12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",55451625,57679448,59473666,63268415,69658104,79217401,83538655,86745435,85652687,90906977,95738309,100427386,107435216,114922222,125775644,133605168,141704959,152851277,163889339,168435759
 "12540","Bakersfield, CA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",27651931,31074712,30772705,33320481,35506212,40304624,44041478,42722024,45552481,43467286,42644421,46566041,45534651,45615554,45836337,45928331,46781960,47738604,49221208,48674498
 "12540","Bakersfield, CA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",59.382,66.733,66.084,71.555,76.249,86.554,94.579,91.745,97.823,93.345,91.578,100.000,97.785,97.959,98.433,98.631,100.464,102.518,105.702,104.528
 "12540","Bakersfield, CA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",19623089,21713857,23589105,27215844,31612333,37015331,42621167,46229974,39794433,41945330,44069637,46566041,47122155,47419015,42022371,41004491,43959990,46923468,47506713,45185758
 "12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",131684133,135284184,138046159,142658454,148646790,151931225,152506859,154760780,153026008,158940861,161984025,163424445,166048933,168707817,172796673,178331783,181781185,184146014,186401606,176750518
 "12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.578,82.781,84.471,87.293,90.958,92.967,93.319,94.699,93.637,97.256,99.119,100.000,101.606,103.233,105.735,109.122,111.233,112.680,114.060,108.154
 "12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",102974672,108228454,112798305,119753767,128559908,135614829,140017144,144649594,146563970,153461467,158810789,163424445,169217635,175334844,183664932,192223283,198751559,205653047,212887514,205810923
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5628410,5795993,5791699,5991298,6084998,6050153,6047799,5878782,5871871,5847990,5709094,5619131,5585159,5610621,5599530,5693159,5775454,5894779,6021508,5926747
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.165,103.147,103.071,106.623,108.291,107.671,107.629,104.621,104.498,104.073,101.601,100.000,99.395,99.849,99.651,101.317,102.782,104.906,107.161,105.474
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4360112,4561700,4645384,4933855,5161159,5304131,5462341,5410995,5571966,5611361,5577760,5619131,5711447,5854862,5977833,6161778,6357797,6645939,6955069,7011881
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",11078518,11185396,11199937,11503339,11325811,10824672,10863587,11315958,10778677,11066483,11273372,11181438,11240442,11473287,11566624,11555157,11514950,11777658,12120706,11278337
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",99.080,100.035,100.165,102.879,101.291,96.809,97.157,101.203,96.398,98.972,100.822,100.000,100.528,102.610,103.445,103.342,102.983,105.332,108.400,100.867
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",8577350,8876320,9088303,9606846,9776172,9681121,10031708,10631824,10336738,10685011,11030786,11181438,11489407,12000711,12449071,12740593,12942875,13546025,14325097,13676996
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",37594354,40288517,42083681,46638093,51412833,50285521,45792021,44654369,44867984,47302082,52370076,52351595,52309526,57883591,57579256,55231723,52253404,54523504,52551296,49723141
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",71.811,76.958,80.387,89.086,98.207,96.053,87.470,85.297,85.705,90.355,100.035,100.000,99.920,110.567,109.986,105.502,99.812,104.149,100.381,94.979
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",24799740,26539228,29126302,33728853,40684042,42045299,39790744,39778684,40394806,43244155,50493014,52351595,52394891,58565574,58296202,53709022,53032349,57916449,56021453,52787892
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5634514,5733763,5789728,5938632,6076150,6141996,6144219,5972082,5480005,5608166,5453674,5416624,5514335,5546892,5696846,5812059,5803726,5862167,5845846,5700101
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",104.023,105.855,106.888,109.637,112.176,113.392,113.433,110.255,101.170,103.536,100.684,100.000,101.804,102.405,105.173,107.300,107.147,108.225,107.924,105.233
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4656599,4828336,4919399,5095872,5288267,5392426,5513421,5446240,5285164,5414297,5294722,5416624,5630183,5779635,6140561,6352358,6385204,6506776,6629932,6592076
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3594543,3607906,3642963,3653970,3691280,3683378,3649420,3501302,3450785,3558086,3557398,3552592,3554386,3377796,3360927,3365241,3278728,3323459,3240660,3217281
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",101.181,101.557,102.544,102.854,103.904,103.681,102.726,98.556,97.134,100.155,100.135,100.000,100.051,95.080,94.605,94.726,92.291,93.550,91.220,90.562
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2993186,3021554,3090089,3143904,3238007,3309883,3359859,3273081,3361075,3456548,3488565,3552592,3631795,3527896,3590002,3627400,3572207,3680495,3674940,3721412
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",23700503,22677151,23155523,27603913,24791145,24463720,26421236,25400444,24990865,26978497,27335421,28582878,28685207,23579432,23387811,24203455,25058556,25696733,26691818,25180298
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.919,79.338,81.012,96.575,86.734,85.589,92.437,88.866,87.433,94.387,95.636,100.000,100.358,82.495,81.825,84.678,87.670,89.903,93.384,88.096
